Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,12.750000,12.750000,12.750000,5.936157,7400
1973-02-22,0.000000,12.750000,12.750000,12.750000,5.936157,600
1973-02-23,0.000000,12.625000,12.625000,12.625000,5.877962,1600
1973-02-26,0.000000,11.875000,11.875000,11.875000,5.528776,6400
1973-02-27,0.000000,11.125000,11.125000,11.125000,5.179594,6200
1973-02-28,0.000000,11.250000,11.250000,11.250000,5.237789,2600
1973-03-01,0.000000,9.375000,9.375000,9.375000,4.364824,10400
1973-03-02,0.000000,10.375000,10.375000,10.375000,4.830404,9200
1973-03-05,0.000000,10.750000,10.750000,10.750000,5.004998,7600
1973-03-06,0.000000,10.750000,10.750000,10.750000,5.004998,3200
1973-03-07,0.000000,10.750000,10.750000,10.750000,5.004998,1600
1973-03-08,0.000000,10.875000,10.875000,10.875000,5.063198,2400
1973-03-09,0.000000,11.000000,11.000000,11.000000,5.121392,600
1973-03-12,0.000000,10.625000,10.625000,10.625000,4.946797,3800
1973-03-13,0.000000,10.750000,10.750000,10.750000,5.004998,3200
1973-03-14,0.000000,10.750000,10.750000,10.750000,5.004998,1800
1973-03-15,0.000000,10.750000,10.750000,10.750000,5.004998,1200
1973-03-16,0.000000,10.750000,10.750000,10.750000,5.004998,1600
1973-03-19,0.000000,10.625000,10.625000,10.625000,4.946797,1400
1973-03-20,0.000000,10.625000,10.625000,10.625000,4.946797,5800
1973-03-21,0.000000,10.125000,10.125000,10.125000,4.714010,4200
1973-03-22,0.000000,9.875000,9.875000,9.875000,4.597612,3800
1973-03-23,0.000000,9.625000,9.625000,9.625000,4.481221,4400
1973-03-26,0.000000,9.875000,9.875000,9.875000,4.597612,1600
1973-03-27,0.000000,10.250000,10.250000,10.250000,4.772207,2800
1973-03-28,0.000000,10.125000,10.125000,10.125000,4.714010,400
1973-03-29,0.000000,10.500000,10.500000,10.500000,4.888601,4200
1973-03-30,0.000000,10.250000,10.250000,10.250000,4.772207,2400
1973-04-02,0.000000,10.250000,10.250000,10.250000,4.772207,800
1973-04-03,0.000000,9.750000,9.750000,9.750000,4.539416,1600
1973-04-04,0.000000,9.500000,9.500000,9.500000,4.423023,2400
1973-04-05,0.000000,9.500000,9.500000,9.500000,4.423023,1600
1973-04-06,0.000000,9.625000,9.625000,9.625000,4.481221,1200
1973-04-09,0.000000,9.750000,9.750000,9.750000,4.539416,1000
1973-04-10,0.000000,10.000000,10.000000,10.000000,4.655813,1200
1973-04-11,0.000000,10.000000,10.000000,10.000000,4.655813,400
1973-04-12,0.000000,9.875000,9.875000,9.875000,4.597612,1000
1973-04-13,0.000000,9.875000,9.875000,9.875000,4.597612,400
1973-04-16,0.000000,9.875000,9.875000,9.875000,4.597612,600
1973-04-17,0.000000,9.750000,9.750000,9.750000,4.539416,3200
1973-04-18,9.750000,9.750000,9.750000,9.750000,4.539416,0
1973-04-19,9.750000,9.750000,9.750000,9.750000,4.539416,0
1973-04-23,0.000000,9.875000,9.875000,9.875000,4.597612,200
1973-04-24,0.000000,9.625000,9.625000,9.625000,4.481221,2200
1973-04-25,0.000000,9.625000,9.625000,9.625000,4.481221,1200
1973-04-26,0.000000,9.625000,9.625000,9.625000,4.481221,800
1973-04-27,0.000000,9.375000,9.375000,9.375000,4.364824,400
1973-04-30,0.000000,9.375000,9.375000,9.375000,4.364824,1800
1973-05-01,0.000000,9.500000,9.500000,9.500000,4.423023,1400
1973-05-02,0.000000,9.500000,9.500000,9.500000,4.423023,400
1973-05-03,0.000000,9.875000,9.500000,9.500000,4.423023,600
1973-05-04,0.000000,9.500000,9.125000,9.125000,4.248428,4000
1973-05-07,0.000000,9.500000,9.125000,9.125000,4.248428,200
1973-05-08,0.000000,9.375000,9.000000,9.000000,4.190231,2800
1973-05-09,0.000000,9.250000,8.875000,8.875000,4.132033,2400
1973-05-10,0.000000,9.250000,8.875000,8.875000,4.132033,2200
1973-05-11,0.000000,8.875000,8.375000,8.375000,3.899241,1600
1973-05-14,0.000000,8.875000,8.375000,8.375000,3.899241,2600
1973-05-15,0.000000,8.500000,8.000000,8.000000,3.724650,3800
1973-05-16,0.000000,8.250000,7.875000,7.875000,3.666451,2800
1973-05-17,0.000000,8.375000,8.000000,8.000000,3.724650,4000
1973-05-18,0.000000,8.250000,7.875000,7.875000,3.666451,2800
1973-05-21,0.000000,7.875000,7.500000,7.500000,3.491858,4000
1973-05-22,0.000000,7.375000,7.000000,7.000000,3.259068,5600
1973-05-23,0.000000,6.875000,6.375000,6.375000,2.968078,3000
1973-05-24,0.000000,7.125000,6.625000,6.625000,3.084475,4800
1973-05-25,0.000000,7.250000,6.875000,6.875000,3.200870,4400
1973-05-29,0.000000,7.375000,7.000000,7.000000,3.259068,2000
1973-05-30,0.000000,7.375000,7.000000,7.000000,3.259068,2600
1973-05-31,0.000000,7.250000,6.875000,6.875000,3.200870,1200
1973-06-01,0.000000,7.250000,6.875000,6.875000,3.200870,200
1973-06-04,0.000000,7.000000,6.625000,6.625000,3.084475,1800
1973-06-05,0.000000,7.000000,6.625000,6.625000,3.084475,1000
1973-06-06,0.000000,7.000000,6.625000,6.625000,3.084475,600
1973-06-07,0.000000,7.000000,6.625000,6.625000,3.084475,600
1973-06-08,0.000000,7.625000,7.250000,7.250000,3.375462,1800
1973-06-11,0.000000,7.625000,7.250000,7.250000,3.375462,600
1973-06-12,0.000000,7.875000,7.500000,7.500000,3.491858,3400
1973-06-13,0.000000,7.875000,7.500000,7.500000,3.491858,400
1973-06-14,0.000000,7.875000,7.500000,7.500000,3.491858,8400
1973-06-15,0.000000,8.000000,7.625000,7.625000,3.550057,2200
1973-06-18,0.000000,8.125000,7.750000,7.750000,3.608254,1200
1973-06-19,0.000000,8.125000,7.750000,7.750000,3.608254,2600
1973-06-20,0.000000,8.375000,8.000000,8.000000,3.724650,1400
